"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.34876318961579e-244,0.722065520968571,0.261,0.173,1.80191673409379e-239,"0","ANKH"
1.16517026161067e-243,0.356074281043834,0.633,0.534,2.85699748146935e-239,"0","RBL2"
5.12846977365009e-243,0.482646583813575,0.499,0.408,1.257500788499e-238,"0","LSM5"
1.79245702133797e-239,0.583778938735625,0.306,0.21,4.39510461632069e-235,"0","BEX2"
2.69360554960413e-234,0.673148335419635,0.301,0.213,6.60472080762933e-230,"0","SLC7A6"
1.78466964079477e-225,0.62252608588087,0.304,0.215,4.37600995922878e-221,"0","ARMH1"
8.25105928949582e-225,0.401126781531628,0.483,0.378,2.02315973778438e-220,"0","BCL9L"
2.11081002850919e-219,0.577001170851205,0.376,0.288,5.17570618990454e-215,"0","NSMCE1"
4.1814263384253e-217,0.362347602741574,0.499,0.395,1.02528573818188e-212,"0","NCK2"
3.8748115612652e-216,0.250132530529155,0.333,0.229,9.50103794822228e-212,"0","BACH2"
1.74203760817649e-215,0.636309398596597,0.309,0.223,4.27147621524876e-211,"0","MHENCR"
1.06157467878745e-214,0.562826601365854,0.257,0.17,2.60298111238683e-210,"0","THEMIS"
2.49418429015999e-214,0.547973226403855,0.361,0.27,6.11573987947229e-210,"0","ITPKB"
2.98386614004716e-213,0.53252760822798,0.353,0.26,7.31643977539563e-209,"0","SLC25A45"
1.63860982669579e-212,0.535382777656587,0.401,0.314,4.01787129505807e-208,"0","CRLF3"
2.23344310333438e-208,0.428463142857333,0.427,0.326,5.47640248937591e-204,"0","TNRC6C"
4.29159573374465e-208,0.319593939248883,0.568,0.456,1.05229927391419e-203,"0","RHOH"
8.00864319728959e-207,0.298647493971654,0.576,0.47,1.96371931197541e-202,"0","DNAJB1"
9.57549183184493e-203,0.466074339799235,0.378,0.283,2.34791059716838e-198,"0","ANXA2R"
2.18714823538681e-201,0.528799874525817,0.375,0.289,5.36288747316846e-197,"0","MAPKAPK5-AS1"
2.62279668163409e-201,0.477326341185073,0.371,0.28,6.43109746336679e-197,"0","SVIP"
1.01241069422096e-197,0.561634912943656,0.259,0.176,2.4824310222298e-193,"0","PRKCQ"
7.18459213663127e-197,0.603134293773852,0.343,0.259,1.76166199190199e-192,"0","EEA1"
7.95088952588789e-191,0.432388683415621,0.482,0.402,1.94955811174771e-186,"0","NECAP2"
2.16546172748936e-190,0.386042296744272,0.5,0.414,5.30971215580391e-186,"0","TMC8"
3.05527537641658e-180,0.336688245295632,0.605,0.53,7.49153522297346e-176,"0","UBALD2"
1.14710304459041e-179,0.603145898808572,0.279,0.202,2.81269666533569e-175,"0","MXI1"
4.33331333690134e-178,0.284736484391734,0.707,0.631,1.06252843020821e-173,"0","TNFAIP8"
1.87959921818617e-176,0.436115088529552,0.35,0.267,4.60877728299249e-172,"0","CORO1B"
1.60089381025716e-174,0.342204144308798,0.593,0.521,3.92539162275055e-170,"0","CMPK1"
1.92099949020129e-174,0.295961310565888,0.575,0.488,4.71029074997357e-170,"0","TMEM243"
2.25704224105253e-171,0.636910924909678,0.258,0.185,5.5342675750608e-167,"0","ABRAXAS1"
7.17048034586249e-166,0.342771966083408,0.416,0.327,1.75820178080548e-161,"0","PITPNC1"
8.42331784195366e-166,0.566422547892505,0.282,0.208,2.06539753484704e-161,"0","CLN5"
2.70048249163604e-165,0.565229614113124,0.316,0.239,6.62158306949156e-161,"0","ZNF101"
5.53802311302048e-165,0.411644989497724,0.415,0.335,1.35792326731262e-160,"0","MTERF4"
6.82746116515157e-162,0.391279612936503,0.326,0.24,1.67409347769516e-157,"0","TNIK"
7.66820641203803e-159,0.491266416435208,0.355,0.282,1.88024421223172e-154,"0","GRAMD1A"
1.66125292476238e-158,0.559594482386404,0.294,0.222,4.07339217151736e-154,"0","PCMTD2"
3.01193060891564e-158,0.576436697330469,0.304,0.232,7.38525385306116e-154,"0","SESN3"
1.50320668664687e-157,0.461048908443867,0.351,0.273,3.68586279565814e-153,"0","SFI1"
1.51374125186614e-156,0.597162643328696,0.282,0.213,3.71169354957577e-152,"0","TECPR1"
6.16759308809398e-155,0.531227601599079,0.303,0.229,1.51229382520064e-150,"0","ZBTB25"
1.25176957014246e-151,0.252487768792217,0.696,0.616,3.0693389859893e-147,"0","PEBP1"
5.13774481639827e-151,0.391534187413504,0.386,0.306,1.25977502898086e-146,"0","AC025164.1"
1.02920977346063e-150,0.280019999752802,0.487,0.398,2.52362236452546e-146,"0","PBXIP1"
2.33195974623149e-149,0.302846569032,0.626,0.56,5.71796529775963e-145,"0","C1QBP"
1.16033942017549e-144,0.526676953721033,0.27,0.2,2.8451522582703e-140,"0","ZEB1"
1.20297363749726e-138,0.580111912611312,0.26,0.197,2.94969135914327e-134,"0","ZNF609"
4.15077887318819e-138,0.295259128505494,0.56,0.484,1.01777097970574e-133,"0","SNRPN"
2.38862453185765e-133,0.504989854639577,0.292,0.227,5.85690735211496e-129,"0","LAGE3"
1.3817913879959e-132,0.356771711294425,0.449,0.376,3.38815248336596e-128,"0","CCDC18-AS1"
